"TABLE_CATALOG","TABLE_SCHEMA","TABLE_NAME","COLUMN_NAME","ORDINAL_POSITION","COLUMN_DEFAULT","IS_NULLABLE","DATA_TYPE","CHARACTER_MAXIMUM_LENGTH","CHARACTER_OCTET_LENGTH","NUMERIC_PRECISION","NUMERIC_PRECISION_RADIX","NUMERIC_SCALE","DATETIME_PRECISION","INTERVAL_TYPE","INTERVAL_PRECISION","CHARACTER_SET_CATALOG","CHARACTER_SET_SCHEMA","CHARACTER_SET_NAME","COLLATION_CATALOG","COLLATION_SCHEMA","COLLATION_NAME","DOMAIN_CATALOG","DOMAIN_SCHEMA","DOMAIN_NAME","UDT_CATALOG","UDT_SCHEMA","UDT_NAME","SCOPE_CATALOG","SCOPE_SCHEMA","SCOPE_NAME","MAXIMUM_CARDINALITY","DTD_IDENTIFIER","IS_SELF_REFERENCING","IS_IDENTITY","IDENTITY_GENERATION","IDENTITY_START","IDENTITY_INCREMENT","IDENTITY_MAXIMUM","IDENTITY_MINIMUM","IDENTITY_CYCLE","COMMENT"
"EDW","RAW_DATA","DATASETS_FIELDS_COLUMNS","CHARACTER_SET_NAME","19","","YES","TEXT","10485760","16777216","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"EDW","RAW_DATA","RELATIONSHIPS_TMP","COD_RELATIONSHIP","1","","YES","TEXT","10485760","16777216","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"EDW","RAW_DATA","DATASETS_FIELDS","DT_LOAD","9","","YES","TEXT","10485760","16777216","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"EDW","RAW_DATA","DATASETS_FIELDS_COLUMNS_TMP","COLLATION_CATALOG","20","","YES","TEXT","10485760","16777216","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"EDW","RAW_DATA","DATASETS_FIELDS_COLUMNS_TMP","IDENTITY_INCREMENT","38","","YES","TEXT","10485760","16777216","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"EDW","RAW_DATA","SETCONNECTION_CONNECTIONS_TMP","DES_SETCONNECTION_CONNECTION","3","","YES","TEXT","10485760","16777216","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"EDW","RAW_DATA","DATASETS_FIELDS_COLUMNS_TMP","CHARACTER_SET_SCHEMA","18","","YES","TEXT","10485760","16777216","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"EDW","RAW_DATA","MODEL","DT_MODEL_LOAD","5","","YES","TEXT","16777216","16777216","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"EDW","RAW_DATA","RELATIONSHIPS","REFERENCE_COD_DATASET","3","","YES","TEXT","10485760","16777216","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"EDW","RAW_DATA","RELATIONSHIPS","COD_RELATIONSHIP_NAME","2","","YES","TEXT","10485760","16777216","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"EDW","RAW_DATA","CONNECTIONS","COD_TYPE_PHASE","3","","YES","TEXT","10485760","16777216","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"EDW","RAW_DATA","RELATIONSHIPS_TMP","REFERENCE_COD_DATASET","3","","YES","TEXT","10485760","16777216","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"EDW","RAW_DATA","DATASETS_FIELDS_COLUMNS","UDT_CATALOG","26","","YES","TEXT","10485760","16777216","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"EDW","RAW_DATA","ENVIRONMENT_CONNECTIONS","DT_MODEL_LOAD","5","","YES","TEXT","16777216","16777216","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"EDW","RAW_DATA","DATASETS_FIELDS_COLUMNS","NUMERIC_SCALE","13","","YES","NUMBER","","","9","10","0","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"EDW","RAW_DATA","DATASETS","COD_MODEL","4","","YES","TEXT","10485760","16777216","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"EDW","RAW_DATA","ENVIRONMENTS","DESC_ENVIRONMENT","2","","YES","TEXT","10485760","16777216","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"EDW","RAW_DATA","DATASETS_FIELDS_COLUMNS","IS_NULLABLE","7","","YES","TEXT","10485760","16777216","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"EDW","RAW_DATA","DATASETS_FIELDS_COLUMNS","IDENTITY_MINIMUM","40","","YES","TEXT","10485760","16777216","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"EDW","RAW_DATA","RELATIONSHIPS","TARGET_COD_DATASET","5","","YES","TEXT","10485760","16777216","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"EDW","RAW_DATA","CONNECTIONS","COD_PATH_3","8","","YES","TEXT","10485760","16777216","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"EDW","RAW_DATA","SETCONNECTION_CONNECTIONS_TMP","COD_CONNECTION","2","","YES","TEXT","10485760","16777216","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"EDW","RAW_DATA","RELATIONSHIPS","REFERENCE_COD_NAME","4","","YES","TEXT","10485760","16777216","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"EDW","RAW_DATA","DATASETS_FIELDS","DESC","6","","YES","TEXT","10485760","16777216","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"EDW","RAW_DATA","DATASETS_FIELDS_TMP","COD_DATASET","1","","YES","TEXT","10485760","16777216","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"EDW","RAW_DATA","DATASETS_FIELDS_COLUMNS_TMP","SCOPE_CATALOG","29","","YES","TEXT","10485760","16777216","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
